03/0414:15 ,Raja Casablanca           ,1 ,0 ,Chabab Mohammedia         ,1
03/0412:00 ,IR Tanger                 ,2 ,1 ,Olympique de Safi         ,3
03/0412:00 ,Difaa El Jadidi           ,0 ,1 ,FAR Rabat                 ,1
03/0314:15 ,Maghreb Fes               ,0 ,0 ,FUS Rabat                 ,0
03/0116:30 ,FAR Rabat                 ,3 ,0 ,Union Touarga             ,3
02/2816:30 ,Wydad Casablanca          ,3 ,2 ,Olympique Khouribga       ,5
02/2814:15 ,Moghreb Tetouan           ,1 ,0 ,Raja Casablanca           ,1
02/2616:30 ,Olympique de Safi         ,1 ,1 ,Berkane                   ,2
02/2614:15 ,Jeunesse Sportive Soualem ,1 ,1 ,Maghreb Fes               ,2
02/2516:30 ,Chabab Mohammedia         ,2 ,1 ,Difaa El Jadidi           ,3
02/2514:15 ,Hassania Agadir           ,1 ,0 ,IR Tanger                 ,1
02/2512:00 ,FUS Rabat                 ,2 ,1 ,Mouloudia Oujda           ,3
02/2216:30 ,Berkane                   ,1 ,4 ,FAR Rabat                 ,5
02/2216:30 ,Raja Casablanca           ,2 ,1 ,Union Touarga             ,3
02/2116:30 ,Mouloudia Oujda           ,0 ,0 ,Chabab Mohammedia         ,0
02/2114:15 ,Difaa El Jadidi           ,0 ,1 ,Wydad Casablanca          ,1
02/2114:15 ,IR Tanger                 ,2 ,0 ,Moghreb Tetouan           ,2
02/2112:00 ,Maghreb Fes               ,1 ,1 ,Olympique de Safi         ,2
02/1816:30 ,FUS Rabat                 ,2 ,0 ,Jeunesse Sportive Soualem ,2
02/1814:15 ,Olympique Khouribga       ,2 ,0 ,Hassania Agadir           ,2
01/2916:30 ,Hassania Agadir           ,0 ,1 ,Berkane                   ,1
01/2916:30 ,Chabab Mohammedia         ,1 ,1 ,Olympique Khouribga       ,2
01/2914:15 ,Wydad Casablanca          ,0 ,0 ,FUS Rabat                 ,0
01/2912:00 ,Union Touarga             ,2 ,1 ,Difaa El Jadidi           ,3
01/2816:30 ,Jeunesse Sportive Soualem ,2 ,0 ,IR Tanger                 ,2
01/2814:15 ,Olympique de Safi         ,3 ,1 ,Raja Casablanca           ,4
01/2812:00 ,FAR Rabat                 ,3 ,2 ,Mouloudia Oujda           ,5
01/2812:00 ,Moghreb Tetouan           ,1 ,1 ,Maghreb Fes               ,2
01/2616:30 ,Union Touarga             ,0 ,0 ,Olympique Khouribga       ,0
01/2614:15 ,Chabab Mohammedia         ,0 ,1 ,Berkane                   ,1
01/2612:00 ,Hassania Agadir           ,0 ,1 ,FUS Rabat                 ,1
01/2516:30 ,Wydad Casablanca          ,1 ,0 ,Maghreb Fes               ,1
01/2514:15 ,Olympique de Safi         ,1 ,1 ,Jeunesse Sportive Soualem ,2
01/2512:00 ,Moghreb Tetouan           ,1 ,2 ,Mouloudia Oujda           ,3
01/2512:00 ,FAR Rabat                 ,4 ,0 ,IR Tanger                 ,4
01/2416:30 ,Difaa El Jadidi           ,0 ,0 ,Raja Casablanca           ,0
01/2216:30 ,Jeunesse Sportive Soualem ,0 ,1 ,Wydad Casablanca          ,1
01/2216:30 ,Olympique Khouribga       ,0 ,1 ,Olympique de Safi         ,1
01/2214:15 ,IR Tanger                 ,0 ,1 ,Chabab Mohammedia         ,1
01/2212:00 ,FUS Rabat                 ,1 ,2 ,Moghreb Tetouan           ,3
01/2116:30 ,Maghreb Fes               ,1 ,1 ,Hassania Agadir           ,2
01/2114:15 ,Berkane                   ,1 ,0 ,Difaa El Jadidi           ,1
01/2112:00 ,Raja Casablanca           ,1 ,0 ,FAR Rabat                 ,1
01/2016:30 ,Mouloudia Oujda           ,2 ,2 ,Union Touarga             ,4
01/1916:30 ,SCCMohammédia             ,1 ,1 ,FUS Rabat                 ,2
01/1914:15 ,Moghreb Tetouan           ,2 ,2 ,Olympique Khouribga       ,4
01/1912:00 ,Olympique de Safi         ,0 ,0 ,Wydad Casablanca          ,0
01/1816:30 ,Difaa El Jadidi           ,2 ,1 ,IR Tanger                 ,3
01/1814:15 ,Hassania Agadir           ,1 ,1 ,Jeunesse Sportive Soualem ,2
01/1812:00 ,FAR Rabat                 ,2 ,1 ,Maghreb Fes               ,3
01/1716:30 ,Union Touarga             ,0 ,1 ,Berkane                   ,1
01/1714:15 ,Raja Casablanca           ,2 ,1 ,Mouloudia Oujda           ,3
01/1516:30 ,Maghreb Fes               ,1 ,0 ,Chabab Mohammedia         ,1
01/1514:15 ,FUS Rabat                 ,2 ,1 ,Olympique de Safi         ,3
01/1512:00 ,Jeunesse Sportive Soualem ,2 ,1 ,Moghreb Tetouan           ,3
01/1416:30 ,IR Tanger                 ,0 ,1 ,Union Touarga             ,1
01/1414:15 ,Olympique Khouribga       ,0 ,2 ,FAR Rabat                 ,2
01/1412:00 ,Berkane                   ,0 ,2 ,Raja Casablanca           ,2
01/1316:30 ,Mouloudia Oujda           ,1 ,2 ,Difaa El Jadidi           ,3
01/1314:15 ,Wydad Casablanca          ,1 ,0 ,Hassania Agadir           ,1
01/0812:00 ,Chabab Mohammedia         ,0 ,3 ,Jeunesse Sportive Soualem ,3
01/0812:00 ,FAR Rabat                 ,0 ,1 ,FUS Rabat                 ,1
01/0812:00 ,Moghreb Tetouan           ,0 ,3 ,Wydad Casablanca          ,3
01/0716:30 ,Berkane                   ,2 ,0 ,Mouloudia Oujda           ,2
01/0714:15 ,Hassania Agadir           ,0 ,1 ,Olympique de Safi         ,1
01/0712:00 ,Union Touarga             ,1 ,2 ,Maghreb Fes               ,3
01/0616:30 ,Raja Casablanca           ,3 ,0 ,IR Tanger                 ,3
01/0614:15 ,Difaa El Jadidi           ,2 ,1 ,Olympique Khouribga       ,3
01/0516:30 ,Wydad Casablanca          ,1 ,2 ,Chabab Mohammedia         ,3
01/0512:00 ,Jeunesse Sportive Soualem ,1 ,1 ,FAR Rabat                 ,2
01/0416:30 ,FUS Rabat                 ,3 ,0 ,Union Touarga             ,3
01/0414:15 ,Maghreb Fes               ,0 ,0 ,Berkane                   ,0
01/0412:00 ,Olympique de Safi         ,1 ,1 ,Moghreb Tetouan           ,2
01/0316:30 ,Olympique Khouribga       ,0 ,0 ,Raja Casablanca           ,0
01/0314:15 ,Hassania Agadir           ,2 ,2 ,Difaa El Jadidi           ,4
01/0312:00 ,IR Tanger                 ,0 ,2 ,Mouloudia Oujda           ,2
12/2914:15 ,Difaa El Jadidi           ,0 ,3 ,FUS Rabat                 ,3
12/2912:00 ,SCCMohammédia             ,1 ,2 ,Olympique de Safi         ,3
12/2912:00 ,FAR Rabat                 ,3 ,0 ,Wydad Casablanca          ,3
12/2816:30 ,Mouloudia Oujda           ,0 ,0 ,Olympique Khouribga       ,0
12/2814:15 ,Union Touarga             ,2 ,1 ,Jeunesse Sportive Soualem ,3
12/2812:00 ,Moghreb Tetouan           ,2 ,1 ,Hassania Agadir           ,3
12/2716:30 ,Berkane                   ,2 ,1 ,IR Tanger                 ,3
12/2714:15 ,Raja Casablanca           ,0 ,0 ,Maghreb Fes               ,0
11/1516:00 ,FUS Rabat                 ,0 ,0 ,Berkane                   ,0
11/1412:00 ,Moghreb Tetouan           ,0 ,2 ,FAR Rabat                 ,2
11/0614:00 ,Wydad Casablanca          ,0 ,0 ,Union Touarga             ,0
11/0612:00 ,Olympique Khouribga       ,1 ,1 ,IR Tanger                 ,2
11/0514:00 ,Maghreb Fes               ,2 ,1 ,Mouloudia Oujda           ,3
11/0512:00 ,Jeunesse Sportive Soualem ,1 ,4 ,Raja Casablanca           ,5
11/0416:30 ,Olympique de Safi         ,0 ,0 ,Difaa El Jadidi           ,0
11/0414:15 ,Hassania Agadir           ,2 ,1 ,Chabab Mohammedia         ,3
10/3013:00 ,Chabab Mohammedia         ,4 ,3 ,Moghreb Tetouan           ,7
10/2916:30 ,Difaa El Jadidi           ,0 ,0 ,Jeunesse Sportive Soualem ,0
10/2914:15 ,Mouloudia Oujda           ,0 ,1 ,Wydad Casablanca          ,1
10/2912:00 ,Raja Casablanca           ,1 ,0 ,FUS Rabat                 ,1
10/2814:00 ,IR Tanger                 ,2 ,3 ,Maghreb Fes               ,5
10/2716:30 ,Berkane                   ,1 ,0 ,Olympique Khouribga       ,1
10/2714:15 ,FAR Rabat                 ,2 ,1 ,Hassania Agadir           ,3
10/2614:15 ,Union Touarga             ,2 ,0 ,Olympique de Safi         ,2
10/2312:00 ,Wydad Casablanca          ,2 ,1 ,Raja Casablanca           ,3
10/2216:00 ,Jeunesse Sportive Soualem ,1 ,1 ,Berkane                   ,2
10/2116:00 ,Chabab Mohammedia         ,1 ,1 ,FAR Rabat                 ,2
10/1916:30 ,Raja Casablanca           ,1 ,0 ,Hassania Agadir           ,1
10/1914:15 ,IR Tanger                 ,0 ,0 ,Wydad Casablanca          ,0
10/1816:30 ,FAR Rabat                 ,1 ,1 ,Olympique de Safi         ,2
10/1814:15 ,Berkane                   ,2 ,2 ,Moghreb Tetouan           ,4
10/1614:00 ,FUS Rabat                 ,1 ,0 ,IR Tanger                 ,1
10/1612:00 ,Hassania Agadir           ,1 ,2 ,Union Touarga             ,3
10/1513:30 ,Moghreb Tetouan           ,1 ,1 ,Difaa El Jadidi           ,2
10/1416:30 ,Maghreb Fes               ,2 ,0 ,Olympique Khouribga       ,2
10/1414:15 ,Olympique de Safi         ,1 ,2 ,Mouloudia Oujda           ,3
10/0914:00 ,Olympique Khouribga       ,2 ,3 ,FUS Rabat                 ,5
