15.0405:00,Ryukyu,2,0,Giravanz Kitakyushu,2
15.0402:00,Sagamihara,0,1,Nagano,1
15.0401:00,Fukushima United,0,0,Gainare Tottori,0
09.0402:00,Nagano,4,0,Kamatamare Sanuki,4
09.0402:00,Giravanz Kitakyushu,2,4,Yamaga,6
09.0402:00,Kataller Toyama,2,0,Tegevajaro Miyazaki,2
09.0401:00,Gainare Tottori,3,3,Vanraure,6
09.0401:00,Osaka,3,1,Imabari,4
08.0405:00,Ryukyu,0,2,Nara Club,2
08.0403:00,Ehime,2,1,Gifu,3
08.0402:00,Grulla Morioka,1,1,Sagamihara,2
08.0402:00,Azul Claro Numazu,1,1,Fukushima United,2
08.0401:00,YSCC,1,1,Kagoshima United,2
02.0403:00,Tegevajaro Miyazaki,0,0,Ehime,0
02.0402:00,Vanraure,1,1,Giravanz Kitakyushu,2
02.0402:00,Fukushima United,0,2,Grulla Morioka,2
02.0402:00,Sagamihara,0,0,Azul Claro Numazu,0
02.0402:00,Yamaga,0,0,Gainare Tottori,0
02.0402:00,Kamatamare Sanuki,2,0,Kagoshima United,2
02.0402:00,Nagano,1,0,YSCC,1
02.0401:00,Imabari,1,1,Nara Club,2
01.0403:00,Gifu,3,1,Ryukyu,4
01.0402:00,Osaka,0,1,Kataller Toyama,1
26.0305:00,Ryukyu,0,1,Fukushima United,1
26.0303:00,Ehime,2,1,Osaka,3
26.0302:00,Vanraure,1,0,Gifu,1
26.0302:00,Yamaga,1,1,Tegevajaro Miyazaki,2
26.0302:00,Giravanz Kitakyushu,0,1,Imabari,1
26.0302:00,Kataller Toyama,3,3,Nagano,6
26.0301:00,Nara Club,2,2,YSCC,4
26.0301:00,Kagoshima United,2,1,Sagamihara,3
26.0301:00,Gainare Tottori,2,2,Kamatamare Sanuki,4
25.0302:00,Grulla Morioka,1,1,Azul Claro Numazu,2
19.0302:00,Kataller Toyama,3,2,Giravanz Kitakyushu,5
19.0302:00,Nagano,0,3,Nara Club,3
19.0302:00,Kamatamare Sanuki,1,0,Sagamihara,1
19.0301:00,Fukushima United,0,1,Tegevajaro Miyazaki,1
19.0301:00,Gainare Tottori,2,3,Ehime,5
19.0301:00,Imabari,2,2,Ryukyu,4
19.0301:00,YSCC,0,3,Yamaga,3
18.0303:00,Gifu,1,0,Kagoshima United,1
18.0302:00,Azul Claro Numazu,0,1,Vanraure,1
18.0302:00,Osaka,0,3,Grulla Morioka,3
12.0303:00,Sagamihara,2,1,Fukushima United,3
12.0303:00,Ehime,1,1,Nagano,2
12.0302:00,Giravanz Kitakyushu,3,0,Kamatamare Sanuki,3
12.0302:00,Azul Claro Numazu,2,1,Kataller Toyama,3
12.0302:00,Gifu,1,1,Yamaga,2
12.0301:00,Nara Club,1,1,Vanraure,2
12.0301:00,Tegevajaro Miyazaki,0,1,Osaka,1
11.0305:00,Ryukyu,2,1,Grulla Morioka,3
11.0303:00,Kagoshima United,1,1,Imabari,2
11.0301:00,YSCC,1,3,Gainare Tottori,4
05.0303:00,Ehime,1,5,Grulla Morioka,6
05.0302:00,Kamatamare Sanuki,1,0,Azul Claro Numazu,1
05.0302:00,Giravanz Kitakyushu,1,1,Gifu,2
05.0301:05,Imabari,1,0,Fukushima United,1
05.0301:00,Nara Club,0,2,Yamaga,2
05.0301:00,Tegevajaro Miyazaki,0,2,Nagano,2
05.0301:00,YSCC,1,2,Kataller Toyama,3
04.0303:00,Kagoshima United,2,1,Osaka,3
04.0303:00,Ryukyu,1,0,Vanraure,1
04.0302:00,Sagamihara,2,3,Gainare Tottori,5
20.1102:00,Iwaki,1,1,YSCC,2
20.1102:00,Kataller Toyama,2,4,Kagoshima United,6
20.1102:00,Yamaga,1,0,Sagamihara,1
20.1102:00,Vanraure,2,1,Imabari,3
20.1102:00,Fukushima United,0,3,Ehime,3
20.1102:00,Gainare Tottori,3,0,Kamatamare Sanuki,3
20.1102:00,Gifu,1,2,Giravanz Kitakyushu,3
20.1102:00,Nagano,0,0,Fujieda MYFC,0
20.1102:00,Azul Claro Numazu,1,2,Tegevajaro Miyazaki,3
13.1102:00,Sagamihara,1,2,Iwaki,3
13.1102:00,Kamatamare Sanuki,0,1,Vanraure,1
13.1102:00,Giravanz Kitakyushu,1,2,Kataller Toyama,3
13.1101:05,Tegevajaro Miyazaki,4,1,Yamaga,5
13.1101:00,Fujieda MYFC,3,1,Fukushima United,4
13.1101:00,Imabari,3,3,Nagano,6
13.1101:00,Kagoshima United,1,0,Gifu,1
12.1103:00,Ehime,1,1,Azul Claro Numazu,2
12.1101:00,YSCC,0,4,Gainare Tottori,4
06.1103:00,Ehime,1,1,Kamatamare Sanuki,2
06.1102:00,Kataller Toyama,4,3,Yamaga,7
06.1102:00,Gifu,1,2,Tegevajaro Miyazaki,3
06.1102:00,Giravanz Kitakyushu,3,1,Sagamihara,4
06.1101:00,Vanraure,0,1,YSCC,1
06.1101:00,Iwaki,3,0,Kagoshima United,3
06.1101:00,Nagano,1,2,Gainare Tottori,3
06.1101:00,Fukushima United,2,0,Azul Claro Numazu,2
06.1101:00,Imabari,1,0,Fujieda MYFC,1
30.1002:00,Sagamihara,0,0,Gifu,0
30.1002:00,Kamatamare Sanuki,2,2,Giravanz Kitakyushu,4
30.1001:05,Yamaga,2,1,Nagano,3
30.1001:00,Azul Claro Numazu,1,2,Vanraure,3
30.1001:00,Kataller Toyama,2,3,Imabari,5
30.1001:00,Gainare Tottori,1,1,Fujieda MYFC,2
30.1001:00,Kagoshima United,0,1,Ehime,1
30.1001:00,Tegevajaro Miyazaki,1,0,Iwaki,1
29.1001:00,YSCC,2,0,Fukushima United,2
27.1001:30,Tegevajaro Miyazaki,3,3,Ehime,6
23.1007:00,Gifu,2,1,Azul Claro Numazu,3
23.1002:00,Nagano,2,1,YSCC,3
23.1002:00,Kamatamare Sanuki,2,2,Sagamihara,4
23.1002:00,Giravanz Kitakyushu,2,3,Gainare Tottori,5
