18.0221:00,Oriente Petrolero,2,0,Independiente Petrolero,2
18.0218:30,Guabira,1,0,Tomayapo,1
18.0216:00,Royal Pari,0,3,Atletico Palmaflor,3
17.0221:30,The Strongest,3,2,Bolivar,5
17.0219:00,Blooming,3,4,Universitario de Vinto,7
13.0220:00,Atletico Palmaflor,2,0,Guabira,2
12.0220:30,Wilstermann,0,2,Aurora,2
12.0218:30,Independiente Petrolero,1,4,The Strongest,5
12.0216:00,Tomayapo,1,0,Santa Cruz,1
11.0221:00,Bolivar,3,1,Royal Pari,4
11.0218:30,Nacional Potosi,3,0,Blooming,3
11.0216:00,Universitario de Vinto,1,1,Oriente Petrolero,2
10.0216:00,Always Ready,5,0,Libertad Gran Mamore,5
06.0220:00,Royal Pari,2,1,Independiente Petrolero,3
06.0216:00,Santa Cruz,2,1,Atletico Palmaflor,3
05.0220:30,Blooming,1,1,Wilstermann,2
05.0218:30,Aurora,0,0,Always Ready,0
05.0216:00,Guabira,1,2,Bolivar,3
04.0221:00,Oriente Petrolero,3,0,Nacional Potosi,3
04.0218:30,The Strongest,2,1,Universitario de Vinto,3
04.0216:00,Libertad Gran Mamore,3,2,Vaca Diez,5
21.1021:00,Oriente Petrolero,2,1,Wilstermann,3
20.1021:30,Independiente Petrolero,1,0,Tomayapo,1
20.1019:15,Blooming,1,0,Atletico Palmaflor,1
20.1016:00,Aurora,0,2,Universitario de Vinto,2
19.1021:30,Guabira,2,1,Bolivar,3
19.1020:00,Nacional Potosi,3,2,Club Universitario,5
19.1018:15,The Strongest,5,2,Santa Cruz,7
19.1016:00,Always Ready,1,0,Royal Pari,1
17.1021:30,Tomayapo,1,1,Blooming,2
17.1019:30,Wilstermann,1,3,Independiente Petrolero,4
16.1020:30,Club Universitario,1,1,Aurora,2
16.1018:15,Santa Cruz,1,0,Always Ready,1
16.1016:00,Atletico Palmaflor,2,2,Oriente Petrolero,4
15.1020:30,Royal Pari,3,2,Guabira,5
15.1018:15,Bolivar,3,1,Nacional Potosi,4
15.1016:00,Universitario de Vinto,2,1,The Strongest,3
13.1021:00,Tomayapo,1,0,Wilstermann,1
13.1019:15,Aurora,1,2,Santa Cruz,3
13.1016:00,Oriente Petrolero,3,3,Independiente Petrolero,6
12.1021:00,Blooming,0,0,Royal Pari,0
12.1021:00,The Strongest,4,4,Bolivar,8
12.1019:30,Club Universitario,1,3,Always Ready,4
12.1016:00,Guabira,1,0,Universitario de Vinto,1
11.1021:00,Nacional Potosi,6,1,Atletico Palmaflor,7
10.1021:00,Independiente Petrolero,1,1,Aurora,2
09.1020:30,Wilstermann,1,0,Blooming,1
09.1018:15,Guabira,2,1,Oriente Petrolero,3
09.1016:00,Royal Pari,3,1,Club Universitario,4
09.1016:00,Universitario de Vinto,1,1,Tomayapo,2
08.1016:00,Santa Cruz,2,1,Nacional Potosi,3
08.1016:00,Always Ready,1,3,The Strongest,4
07.1016:00,Atletico Palmaflor,1,1,Bolivar,2
06.1021:30,Club Universitario,2,1,Independiente Petrolero,3
06.1019:15,Blooming,0,0,Universitario de Vinto,0
05.1021:30,Oriente Petrolero,3,1,Santa Cruz,4
05.1020:30,Aurora,0,0,The Strongest,0
05.1019:00,Tomayapo,0,3,Always Ready,3
04.1021:30,Wilstermann,1,1,Bolivar,2
04.1019:15,Nacional Potosi,3,1,Guabira,4
04.1016:00,Atletico Palmaflor,1,1,Royal Pari,2
02.1020:30,Oriente Petrolero,1,0,Blooming,1
02.1018:15,The Strongest,1,0,Club Universitario,1
02.1016:00,Universitario de Vinto,1,2,Always Ready,3
01.1020:30,Bolivar,0,0,Independiente Petrolero,0
01.1018:15,Aurora,0,0,Atletico Palmaflor,0
01.1016:00,Nacional Potosi,1,0,Royal Pari,1
30.0921:00,Guabira,1,1,Wilstermann,2
30.0916:00,Santa Cruz,1,1,Tomayapo,2
28.0916:00,Royal Pari,0,2,Always Ready,2
18.0920:30,Royal Pari,1,0,Oriente Petrolero,1
18.0918:15,Bolivar,4,1,Tomayapo,5
18.0916:00,Universitario de Vinto,0,0,Wilstermann,0
17.0920:30,Blooming,1,0,Independiente Petrolero,1
17.0918:15,Club Universitario,1,1,Guabira,2
17.0916:00,Always Ready,0,1,Aurora,1
16.0920:00,The Strongest,1,1,Nacional Potosi,2
16.0916:00,Atletico Palmaflor,4,0,Santa Cruz,4
